Month,year_2014,year_2015,year_2016,year_2017
JAN,254,1396,10696,16015
FEB,377,1084,4745,8538
MAR,291,1679,7549,9888
APR,1146,1668,2434,10643
MAY,820,2708,2326,15423
JUN,1138,3014,2982,14396
JUL,694,2586,3270,11440
AUG,486,2080,5451,13821
SEP,538,3109,6614,9913
OCT,448,3695,5153,10729
NOV,2387,6495,13128,26045
DEC,401,2030,7441,14446
